keyword,year,month
time dimensions increase simultaneously,2013,February
Video Streaming,2016,12
successive interference cancella- tion (SIC) detection,2013,
intrusion detection system,2013,March
scale invariant feature transform,2015,07
additive noise channel,2014,August
Index Terms— Speech Enhancement,2012,August
PUF,2013,June
PUF,2011,June
PUF,2012,September
Index Terms—MIMO relay,2013,
performance strongly depends,2014,01
Energy-aware Infrastructures,2015,07
holon,2013,September
Radio-over-,2015,March
Radio-over-,2015,February
Holography,2015,January
introduce significant overheads,2013,June
gradient step size,2013,June
symbol interference compensation,2013,09
chance constraints,2011,
Softwar,2012,October
Index Terms— View Synthesis,2015,December
Nummelin splitting,2011,06
colonic transit time,2011,January
wireless sensor networks,2012,December
wireless sensor networks,2013,
secure route discovery,2012,05
traditional dvc systems without,2014,11
traditional dvc systems without,2014,November
uniform sum distribution,2014,August
qualité,2015,October
information theoretic achievable rate,2012,
Handover,2013,July
Nonnegative Tensor Fac- torization,2011,June
imaging,2014,January
imaging,2016,05
imaging,2015,05
DR:ICN-14d,2014,September
technologie réflexive,2013,April
two different progress conditions,2015,
high dynamic range,2013,April
high dynamic range,2014,June
théorie de Markov,2011,
Access Control,2011,August
Access Control,2011,
Access Control,2013,December
Access Control,2011,October
Access Control,2011,September
SC:EHP2012,2012,July
mild connectivity conditions,2013,December
Stack Cache,2015,November
numbers,2011,May
frequency chirp,2014,February
ℓ p -norm,2011,
logic circuits,2015,December
HEVC,2014,12
HEVC,2014,December
HEVC,2014,May
HEVC,2015,December
nt h ispa per,2015,08
Platform-Based Design,2014,
embodied interaction,2014,April
probability of missed detection,2015,
Gesture,2011,May
Gesture,2012,October
Markov models,2014,May
change detection,2011,July
change detection,2014,
60G99,2016,03
interaction multimodale,2011,October
interaction multimodale,2011,June
stimulated brillouin scattering,2016,01
simulated room impulse responses,2016,
two different sites using,2013,01
two different sites using,2013,August
two different sites using,2012,01
two different sites using,2012,August
D213 [Software] – Reusable Software -– Domain engineering,2011,02
Storytelling,2011,July
permittivity,2011,March
joaillerie numérique interactive,2011,October
ormal Methods,2014,June
geographical information science community,2012,02
graph cut,2013,
cooperation,2015,October
bridge transfer mobility,2014,01
bridge transfer mobility,2014,September
Statistical test,2011,April
− 1 π 1,2015,October
− 1 π 1,2015,07
surface representation,2012,October
determinantal processes Mathematics Subject Classification: 60G55,2015,
Image databases,2011,09
natural reconstruction strategy,2013,June
natural reconstruction strategy,2013,01
conditional random fields model,2013,08
haario et al,2012,08
Fiber optics and optical communications : Coherent communications,2014,November
determinantal point process,2014,
mathematical,2014,01
mathematical,2014,May
embedded system verification,2015,September
and phrases: Markov chain,2011,06
Energy Consumption,2014,01
ray tracing (RT),2013,June
control loop integration,2013,June
perfect space time codes,2012,03
seri- ous game,2014,April
Masking (RSM),2012,
Low- IF,2014,December
Multi-flow Transmission,2014,
Dual Algorithm,2014,
automatically inpaint complex situations,2014,December
metrics,2011,December
Differential Power Analysis,2014,September
proposed parallel proximal algorithm,2011,May
scale fading,2010,06
Identity Management,2011,
Quality · Color Adaptation · Image Quality Assessment,2016,09
signaling,2014,June
provide closed form expressions,2012,
Index Terms— Template matching,2013,
semiconductor technology moves,2013,October
laughter ACM Reference Format: The Effect of Wrinkles,2015,01
delay control,2013,June
Metric measurement,2015,12
Subpixel,2011,September
free animated motion,2011,July
low false alerts rate,2014,August
time-frequency transforms,2016,January
Optical Communications,2011,March
Optical Communications,2014,November
Optical Communications,2014,September
Optical Communications,2014,11
four-wave mixing,2015,February
four-wave mixing,2014,May
four-wave mixing,2014,February
Diffusion,2014,January
Structural information,2014,November
Structural information,2015,
Structural information,2015,June
saddle point method,2013,01
inner network devices,2013,10
significantly improve system performance,2010,02
Cyclic,2011,06
Social Signal Processing,2012,November
topological semiring,2013,06
theoretical framework,2014,July
implement locally physics,2012,November
left hand movements based,2014,March
left hand movements based,2014,01
high resolution image,2013,
Lattice Coding and Decoding,2012,
TEMS—Real-time and embedded systems,2014,
Support Vector Machines,2011,01
ica based one,2011,
drones,2014,June
drones,2014,October
Robust Routing,2012,03
United States &lt;hal-01096605&gt;,2013,
H24 [System]: Distributed Database/ Object-oriented databases General Terms Algorithms,2017,05
Index Terms—H52f Graphical user interfaces,2011,07
global sensing test,2015,August
Rent parameter,2012,June
delay differential equation,2013,05
shape prior,2015,08
wavelets,2014,May
EMF exposure,2014,April
EMF exposure,2014,March
EMF exposure,2014,June
EMF exposure,2014,September
High dynamic range,2015,
High dynamic range,2014,September
H24 [Database Management]: Systems—Query processing; H33,2012,May
index terms — first,2012,June
constraints involving linear transforms,2012,
tm surface waves alone,2003,10
Keywords: multi-view,2011,01
initiated information,2015,
TrafficMon-,2012,November
Audio Signal Compression,2012,10
sparsity separation criterion,2011,
rate-limited,2014,April
rate-limited,2013,April
monotone comparative statics,2013,March
monotone comparative statics,2013,03
model driven engineering,2013,June
parallel proximal algorithm,2011,May
power estimation,2013,11
paper addresses multiuser power,2012,November
parameter tuning difficulties associated,2014,June
FFT,2011,May
approach whereas virtual agents,2011,August
optimal quantifier design,2012,01
Deformed Graph,2012,03
volume segmentation method ).,2013,04
mitigate sample bias present,2015,January
association,2015,April
renderings generated using,2011,07
trace,2011,
Index Terms—Zero forcing,2011,
larger single image,2013,May
ITS,2012,December
wireless body area networks,2011,August
experimental results prove,2007,04
slot antenna,2012,March
slot antenna,2012,October
describe mobility models,2012,June
ensemble,2016,07
two orthogonal polarizations,2012,October
two orthogonal polarizations,2012,11
density matrix approach,2015,June
density matrix approach,2015,06
I33 [Computer Graphics]: Pic-,2011,04
Index Terms— Video coding,2014,
Index Terms— HEVC,2015,
Index Terms— HEVC,2014,12
Index Terms— HEVC,2014,December
Index Terms— HEVC,2014,May
caustics,2015,July
Stocks,2012,
indistinguishabil-,2013,
grid and cluster computing,2011,July
Interacting MCMC,2014,June
FLOSS,2012,July
Fitts&apos; law,2011,
dense subgraph every time,2015,January
MISO,2013,June
Hadoop,2013,October
dynamic media,2015,October
Firewall,2014,October
renderings closely reproduce,2011,07
QoS,2013,June
conversation,2011,
conversation,2013,May
3d videos using inter,2014,09
OFDM,2014,June
OFDM,2012,10
OFDM,2013,July
OFDM,2013,December
Traffic,2012,January
Traffic,2012,11
Traffic,2012,November
Index Terms—Non-negative Matrix Factorization (NMF),2011,10
Index Terms—Non-negative Matrix Factorization (NMF),2011,October
lo-,2014,
Drone,2014,August
Drone,2014,March
anomie,2011,November
Evaluation protocol,2014,
equivalent rewriting using,2011,April
equivalent rewriting using,2011,08
Likelihood ratio test,2015,March
Likelihood ratio test,2015,03
Likelihood ratio test,2013,
UWB BAN,2011,March
Virtual Agent,2015,August
65D05,2011,
Hypergraph reduction,2012,July
Hypergraph reduction,2012,07
core seam computing technique,2013,May
many positive incoming links,2015,February
information extraction,2012,April
information extraction,2011,November
Combinatorial Optimization,2015,February
Markov Chain Monte Carlo,2016,March
function approximation,2014,December
Index Terms—Advanced Metering Infrastructure,2014,01
recent high resolution nmf,2014,
LRA,2016,July
NP-hardness,2013,June
NP-hardness,2013,06
NP-hardness,2012,May
channel pairs,2012,November
WBAN antenna,2012,March
WBAN antenna,2012,October
MMIC design,2012,May
video sequences,2012,July
erosion,2012,July
patrons,2011,March
bent functions,2015,December
bent functions,2017,05
raytracing,2015,April
raytracing,2015,February
raytracing,2014,April
raytracing,2014,February
decision-making,2013,September
Functional MRI (fMRI),2015,01
Functional MRI (fMRI),2015,January
Modeling Assumption,2016,
Modeling Assumption,2016,January
Bi-variate attacks,2013,November
Decentralised Systems,2012,April
art experimental implementations,2012,12
art experimental implementations,2012,November
exposure,2016,March
Statistical shape priors,2015,08
Multistandard receiver,2015,May
morton code,2015,August
decentralized decision taking paradigm,2015,June
Pareto optimisation,2012,October
Auctions,2012,April
image regularization,2011,11
bracelet,2013,November
si fabry,2015,October
statistical mapping,2011,August
linear equation system,2013,February
Mid-level features,2012,12
Physical layer security,2015,April
Physical layer security,2015,February
Physical layer security,2014,April
Physical layer security,2014,February
Physical layer security,2015,May
side channel attacks requires,2013,09
side channel attacks requires,2013,September
side channel attacks requires,2013,February
side channel attacks requires,2012,09
side channel attacks requires,2012,September
side channel attacks requires,2012,February
ontology representation,2015,June
linear codes ci,2013,12
ICT,2012,September
Belief functions,2014,May
Analyse,2011,
combining multiple description coding,2012,April
Index Terms—Nonnegative matrix factorization,2013,05
redundancy,2014,June
redundancy,2013,January
fast fourier transform,2011,10
fast fourier transform,2012,06
optimally placing relay nodes,2012,
spatially distributed chain,2012,September
texte,2012,
I31 [Computer Graphics]: Hardware Architecture—Graphics Processors,2015,August
Perceptually Uniform encoding,2013,June
weak progress guarantees,2015,
approach captures important meta,2015,May
primary 15A52,2013,June
